value,m,s,n,n_arms,eps,f_eps,f_n_arms,n_users
4,88.82154313940055,3.5953714946918534,7,20.0,0.5,0.5,20,101
5,130.11891534391543,4.357814830460521,3,20.0,0.5,0.5,20,101
6,132.8144300144301,4.887433173828234,3,20.0,0.5,0.5,20,101
7,104.38016594516617,2.657159210927674,5,20.0,0.5,0.5,20,101
8,108.95881673881689,5.012014180568834,5,20.0,0.5,0.5,20,101
9,95.81404105154124,2.719453195234557,6,20.0,0.5,0.5,20,101
10,106.2145382395384,3.1214378830649934,5,20.0,0.5,0.5,20,101
11,96.53102823102851,2.9218610440121573,6,20.0,0.5,0.5,20,101
12,88.38801991659153,4.779774617133155,7,20.0,0.5,0.5,20,101
13,132.66156806156823,1.570880404149407,3,20.0,0.5,0.5,20,101
14,133.89173881673887,3.681934196083376,3,20.0,0.5,0.5,20,101
15,89.09559884559911,2.9469676688798225,7,20.0,0.5,0.5,20,101
16,95.81171837421859,2.64136571818316,6,20.0,0.5,0.5,20,101
17,117.00162337662358,4.654956301894981,4,20.0,0.5,0.5,20,101
18,105.59118548118575,4.717111440201833,5,20.0,0.5,0.5,20,101
19,114.97838203463223,2.271125888250722,4,20.0,0.5,0.5,20,101
20,105.04833333333362,4.708061520993801,5,20.0,0.5,0.5,20,101
1,85.71278146689932,5.029307478947567,5,20.0,0.6,0.6,20,101
2,72.16664307914324,4.759663699678064,7,20.0,0.6,0.6,20,101
3,101.33280423280443,3.999253861920607,3,20.0,0.6,0.6,20,101
4,77.72148730898748,3.7782246037672964,6,20.0,0.6,0.6,20,101
5,100.60361120361138,0.7994482333343184,3,20.0,0.6,0.6,20,101
6,87.17593018093037,4.947173637006017,5,20.0,0.6,0.6,20,101
7,101.39062049062065,4.1626268610213435,3,20.0,0.6,0.6,20,101
8,78.65900072150092,4.393102711017,6,20.0,0.6,0.6,20,101
9,86.65324675324693,3.962151841377003,5,20.0,0.6,0.6,20,101
10,70.06213404650926,1.5370599337878939,8,20.0,0.6,0.6,20,101
11,74.16338780267374,2.5631718444535507,7,20.0,0.6,0.6,20,101
12,73.49146567718024,2.7477998369907315,7,20.0,0.6,0.6,20,101
13,86.4807187257189,5.536465842829936,5,20.0,0.6,0.6,20,101
14,108.20676406926421,9.653155463815173,2,20.0,0.6,0.6,20,101
15,96.94502164502182,2.2289750308356506,3,20.0,0.6,0.6,20,101
16,85.1912193362195,4.438645879842984,5,20.0,0.6,0.6,20,101
17,73.39988899988914,2.398839101473266,7,20.0,0.6,0.6,20,101
18,72.86222943722967,4.0443892306615155,7,20.0,0.6,0.6,20,101
19,94.56859066859084,7.3350769710968216,3,20.0,0.6,0.6,20,101
20,92.22775072150088,3.6894396393742475,4,20.0,0.6,0.6,20,101
