value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
2,42.967190622892545,1.5290344991169105,9,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
3,38.85797836351253,1.7823863967492537,12,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
4,38.347841414762954,1.2915495067226486,12,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
5,35.01771745737057,1.6394920393366483,15,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
6,45.24341170418008,2.126368169655555,8,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
7,37.63206614804328,1.4114017780832877,13,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
8,37.325819156499165,1.3758532308973817,13,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
9,42.4109825722095,1.472584999803839,10,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
10,51.47517486555435,2.477448340285558,5,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
11,40.171364202988116,1.8174453391647867,11,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
12,42.81333749956059,2.384941078897913,9,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
13,41.221700550052084,1.160809044697311,10,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
14,43.03544530088663,1.215211783510901,9,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
15,44.80210477839172,2.2784521244709905,8,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
16,41.07150504724048,2.287311975573284,10,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
17,41.61304392502937,1.0508375115121475,10,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
18,40.49679682085761,1.513654479053245,11,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
19,39.770083051232916,1.5076512047737698,11,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
20,53.48812883739374,2.947105804096369,3,20.0,0.6,0.6,20,33.333333333333336,33.3333333333333,201.0,201
1,32.31029722437101,2.306679842719662,9,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
2,32.353402834504486,1.5612884426794595,9,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
3,30.971035006054695,1.3159556050715009,11,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
4,33.754494263660575,1.4710678430465913,7,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
5,30.037777625567855,1.2859164217998398,12,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
6,28.585474464291913,1.6299596746969802,14,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
7,30.190554654109217,1.463345121048697,12,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
8,31.31283394795778,1.5865053927783417,10,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
9,32.72208630561475,1.3220826358242697,8,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
10,33.34568716027694,1.6091398372574652,8,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
11,32.1126317048105,1.330707391574358,10,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
12,33.54583104911086,1.7483353442785896,8,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
13,32.01931871829962,1.6827447283562553,9,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
14,31.081143344529565,1.5209088564121973,10,20.0,0.7,0.7,20,28.571428571428573,28.5714285714286,201.0,201
