player,arm,samples,estimated_mean,estimated_std
6.0,3.0,12.0,4.896597441009659,4.585035916707809
6.0,4.0,40.0,10.001952249081208,5.300238913663922
6.0,5.0,18.0,10.04678396156649,2.521545397742118
6.0,6.0,10.0,6.801307531356638,0.032427624226298385
6.0,7.0,13.0,6.18583281590224,5.542367394640623
6.0,8.0,44.0,10.035688817595165,5.189023428812181
6.0,9.0,48.0,10.075793848209882,5.339638520920802
6.0,10.0,14.0,8.638059535021707,0.999747043059339
6.0,11.0,13.0,3.0454746793438776,2.6861703321726114
6.0,12.0,10.0,3.2703582704112626,0.03094633961845596
6.0,13.0,11.0,9.389674416349436,0.6765803489128585
6.0,14.0,12.0,10.017059586476888,1.8389345737134244
6.0,15.0,10.0,6.805418200012608,0.031459785938448274
6.0,16.0,11.0,7.998483031495225,0.7072699422658671
6.0,17.0,10.0,6.378883893315859,0.02558266162288615
6.0,18.0,29.0,10.044484044741708,2.980391941837879
6.0,19.0,23.0,10.065698766874512,2.4685802503210375
6.0,20.0,12.0,9.277672729914464,7.613069719068028
6.0,21.0,14.0,6.870566904654602,5.939558733928356
6.0,22.0,13.0,3.3561274699273174,2.907517043178617
6.0,23.0,12.0,9.401089933441266,0.9035352041345173
6.0,24.0,10.0,6.932466975159776,0.028705966045458168
6.0,25.0,31.0,10.057371489560765,5.197874885213331
6.0,26.0,22.0,10.033096979644048,2.9649183333608455
6.0,27.0,30.0,10.04884790710769,5.23900553133879
6.0,28.0,11.0,0.7504235273131645,0.6993409416511907
6.0,29.0,10.0,9.024211868719343,0.03298977816798566
6.0,30.0,31.0,10.031071497559802,4.193687382244103
6.0,31.0,11.0,8.2014558297162,0.6074200510184967
6.0,32.0,11.0,6.864497005289555,0.48615251114261526
