value,m,s,n,n_arms,eps,f_eps,f_n_arms,scaled_1,f_scaled_1,n_users,f_n_users
30,0.7171026398492346,0.04221116976584561,5,30.0,0.4,0.4,30,75.0,75,51.0,51
2,0.6986391759675121,0.023908193671791776,9,30.0,0.5,0.5,30,60.0,60,51.0,51
7,0.6988650261658361,0.017686112592587646,8,30.0,0.5,0.5,30,60.0,60,51.0,51
12,0.6965814176215178,0.03402456810644032,5,30.0,0.5,0.5,30,60.0,60,51.0,51
16,0.7070654694546517,0.03783731775805794,6,30.0,0.5,0.5,30,60.0,60,51.0,51
21,0.7170284489242601,0.04239809415583895,7,30.0,0.5,0.5,30,60.0,60,51.0,51
22,0.7099801587270133,0.03828617103517637,5,30.0,0.5,0.5,30,60.0,60,51.0,51
24,0.7071071538763918,0.03660562288850538,7,30.0,0.5,0.5,30,60.0,60,51.0,51
30,0.6697758528292943,0.012968044530487248,2,30.0,0.5,0.5,30,60.0,60,51.0,51
6,0.661268009765683,0.036293262901305856,5,30.0,0.6,0.6,30,50.0,50,51.0,51
10,0.6887647967163687,0.04765203002496706,12,30.0,0.6,0.6,30,50.0,50,51.0,51
12,0.6714548761397098,0.017811020373642704,4,30.0,0.6,0.6,30,50.0,50,51.0,51
19,0.6711457586587313,0.01652827937234303,5,30.0,0.6,0.6,30,50.0,50,51.0,51
21,0.6597380254128898,0.025942030883742608,5,30.0,0.6,0.6,30,50.0,50,51.0,51
27,0.6663770585770937,0.035016220420120196,12,30.0,0.6,0.6,30,50.0,50,51.0,51
30,0.6809839583770729,0.03514319651318324,7,30.0,0.6,0.6,30,50.0,50,51.0,51
1,0.630537104782751,0.041181523069693526,14,30.0,0.7,0.7,30,42.85714285714286,42.8571428571429,51.0,51
6,0.6373214223411767,0.03999267582490401,12,30.0,0.7,0.7,30,42.85714285714286,42.8571428571429,51.0,51
12,0.6048333333308619,0.028519973507669633,2,30.0,0.7,0.7,30,42.85714285714286,42.8571428571429,51.0,51
13,0.5818871902188725,0.03160630622989507,3,30.0,0.7,0.7,30,42.85714285714286,42.8571428571429,51.0,51
14,0.6185853903682769,0.03969103883176641,9,30.0,0.7,0.7,30,42.85714285714286,42.8571428571429,51.0,51
18,0.6274075174378424,0.02984928811433044,3,30.0,0.7,0.7,30,42.85714285714286,42.8571428571429,51.0,51
20,0.6112000547322962,0.028921201288546125,2,30.0,0.7,0.7,30,42.85714285714286,42.8571428571429,51.0,51
1,0.6228448031165557,0.0177382765214311,10,30.0,0.8,0.8,30,37.5,37.5,51.0,51
